,charaka,book_name
5360,2,
5361," preceding measure, the eye-lid should be carefully exa- mined and lifted up in an inverted posture and the diseased cyst (Bali) should be very carefully cauterised with fire or alkali. As an alternative, the Pakshma- liaif should be removed on the fifth day. ",
5362," (eye-lashes) should be all removed and the affected eye-lid having been carefulU- secured with three hooks (Vadis'a) should be rubbed with pasted Haritaki and Tiivaraka (Lodhra). The four aforesaid as well as purgatives, eye-drops (xAs'chyotana), medicinal snuffs, inhalations (fumigations), Plasters, CoUyrium, Sneha and Rasa-kriya, should be likewise held as beneficialf in cases of Pakshma-kopa. ",
5363,5-Mar,
5364," Thus ends the sixteenth chapter of the Uttara-Tantra in the Sus'ruta Samhita which treats of the remedies of Pakshma-kopa. four measures are (a) operation, [b) cauterisation with fire, t It should be noted that this disease cannot be radically cured, but is amenable only to palliative ",
5365,"Now we shall discourse on the curative treatment of the diseases of the pupil and the Crystalline lens (Drishtigata Roga Pratishcdha). i. Of the diseases included within the present group, three are curable, three arc incurable, while the remain- ing six admit only of palliative treatment. The cura- tive remedies of the disease known as Dhuma-dars'i (smoky or dusky vision) has been already described with the medical treatment of Pittaja All the remedies applicable in cases of deranged Pitta and Kapha as well as application of Nasya (snuff), Seka (sprinkling), Anjana (Collyrium), A'lepa (plaster), Puta-paka and Tarpana (soothing) remedies with the exception of surgical operation should be respectively administered in cases of Pitta-affected (Pitta-vidagdha) and Kapha-affected (Sleshma-vidagdha) vision. Traiphala-Ghrita should be prescribed in a case of Pitta-vidagdha-Drishti and Traivrita-Ghrita in a case of Sleshma-vidagdha-Drishti. Potions of old and matured clarified butter as well as of Tailvaka-Ghrita are equally efficacious in both Collyriums (Anjanas) should be prepared with Pippali, and the charred remains (Masi) of cow's teeth, or with beef, MaricJia, and Manali-sild, or wdth the stalk of a Kapitthi fruit together with honey, or with Atmagnptd pasted with honey ; these four 9, Uttara-Tantra. t Traiphala-Ghrita, Traivrita-Ghrita and Tailvaka-Ghrita should be prepared with both the decoction and Kalka of Triphala, Trivrila and of Tilvaka respectively. ",
5366,ADJanas may be used with advantage in both the types under discussion. ,
5367,3-Feb,
5368," of the flowers of Kubjaka, As'oka, S dla, Amni, Priyangu, Nalini and of Utpala, as well as powdered Rcimkd, Pippali, Haritaki and Amlaki mixed with honey and clarified butter, should be kept inside a hollow bamboo and applied to the eye in the manner of a collyrium (Anjana) in cases of Pitta-vidagdha and Sleshmd-vidagdha eye- diseases. ",
5369,4,
5370," Dravanjana and an alternative, Reniikd pasted with the expressed juice of the flowers of Amra (mangoe) and Jambu (black-berry) and mixed with honey and clarified butter, should be used in both the above cases as an Anjana. Pollens of Nalini [red lotus) and of Utpala (blue lotus) as well as Rasa (watery secre- tions) of cow-dung -f- and made into large pills (Gudikd) may be profitably applied to the eye as an Anjana alike in cases of day-blindness and night-blindness. This Anjana is called the Gudikanjana. ",
5371,5,
5372," Treatment of Day-blindness \—Rasdn' Jana, Rasa (Juice) honey, Tdlis'a-patra and Svania- gairika should be pasted together with the Rasa of cow-dung and applied (in the manner of an Anjana) in cases of Pitta-affected vision i.e. day-blindness. S'ita ' Chakratlatta doca nol read '(iairika' in the list. t In place of of a ""jji"" which may mean a cow or any animal, such as goat, sheep, etc. to Dallana, Rasa means the juice of A'malika. According to others, however, it means the juice of the leaves of Jdti flower. Chakradatta, however, (clarified butter) in place of ""tti"". ",
5373,"(Rasanjana, or according to some Camphor), and Saiivira should be soaked in and then pasted together. It should then be soaked again in the bile of a tortoise or of a RoJiita fish and dried and reduced to powder. The present compound is called the Churna-anjana (powdered CoUyrium) and may be used beneficially for the pacification of Pitta (in cases of Pitta-vidagdha-Drishti). Kds'man flowers, Yashti-madhu, Ddrvi, Rodhra and Rasanjana, should be pounded together and mixed with' honey. Used as an Anjana it is always efficacious in the affections of the eye. ",
5374,8-Jun,
5375," Treatment of nocturnal blindness —-The application of a medicinal Varti (stick) composed of Sauvirdnjana, Saindhava, Pippali and Renukd pasted together with the urine of a she-goat would prove highly beneficial in cases of nocturnal blindness. Simi- larly the application of a medicinal Varti (stick) com- posed of Kdldnu-Sdrivd, Pippali, S'tmthi, Yashti-madhii, Tdlis'a-patra, the two kinds of Haridrd, and Musta, pasted with the Rasa of cow-dung and dried in the shade, proves beneficial in such cases. ManaJi- s'ild, Haritaki, Trikatu, Bald, Kalanu-sdriva and {S'amii- dra-) Phcna pasted together with the milk of a she-goat and similarly prepared in the shape of a Varti is also recommended. 9-1 ",
5376,1,
5377," urine, bile and dung of a cow \ together with wine, should be boiled (in the manner of Rasa-kriyanjana preparation) in the Rasa may also, from the context, mean the watery secretions of cow-dung. t Dallana's heading is evidently which he explains as meaning the juice or serum of the liver of a goat, &c. X the text has The term ""jft"" which literally means a cow, here stands for any female quadruped, such as a she-goat, etc. ",
5378," expressed juice of Dhdtri, or in the Rasa (serum) of the liver of an animal (e.g. a goat), or in the decoction of Triphald. It is called the Kshudrainjana, and should be applied to the affected organ in the manner of an Anjana (collyrium). An Anjana consisting of cow's urine, clarified butter, Samudra-phcna, Pippali, Katphala, Saindhava and honey mixed together should be first kept inside a hollow bamboo and subsequently applied (in night-blindness) as a collyrium. The Medas (fat) and liver of a goat, together with a quantity of clarified butter skimmed out of the milk of a she-goat, mixed with Pippali and Saindhava should be boiled and cook- ed with the (expressed) juice of Amalaka (in the manner of Rasa-kriya preparations). It should then be mixed with honey and kept in a closed vessel made of KJiadira (Catechu) wood. The use of this (com- pound), known as th-e Kshudranjana, as an Anjana (collyrium) would be attended with good results. Harenu, Pippali-sQQds (without pericarps), Eld and the liver (of a goat, etc.) should be pasted with the Rasa of cow-dung. Used as an Anjana, it would prove efficacious in a case of Kapha-affected vision (Sleshma-Vidagdha- Dri.shti). ",
5379,14-Dec,
5380," The liver of a Godha(a kind of wild lizard) should be partially opened and stuffed with Pippali and roasted in fire (ha\ ing been coated with clay ). The use of the honey) lo Dallana ihc Pippali so roasted should be used with honey as an Anjana. t Both Vrinda and Chakradatta read commentators of both of them say that ""the sentence means—the liver should be taken internally and the Pippali should be used as an Anjana. The commentator of Vrinda further says that the practice is lo use both of them together as an Anjana. ",
5381,"yo would be found to be highly beneficial in cases of iiight-blindncss. Similarly a single application of an Anjana made of a goat's liver stuffed with and roasted in fire as in the preceding case would speedily and certainly cure an attack of night-blindness. As an alternative, both the spleen and the liver (of a goat or of a lizard) would be cut into pieces, mixed with oil and clarified butter, and roasted on a spit. Used internally or used as an Anjana with mustard oil, it would speedily cure an attack of night-blindness. ",
5382,15-17,
5383," An Anjana or a pill composed of Nadija (Saindhava), S'imhi (D, R.—Samkha—conch-shell), Kataka, Anjana (Rasanjana), Manah-s'ild, the two kinds of Nis'd, pasted together with the juice of the liver (of a cow) and mixed with red-sandal paste is recommended in a case of day-blindness. ",
5384,18,
5385," Treatment of palliative Bleeding by opening the (local) veins should be resorted to in the six kinds of ocular affections in which the palliative treatment is all that is open to us. The patient should be as well kept constantly purged with draughts of matured clarified butter duly cooked with the admixture of suitable purgative drugs. In a Vdtaja Both Vagbhata and Dallana plainly say that the roasted Pippali only should be used with honey as an Anjana in cases of night-blindness. t There is a confusion in the reading of this couplet. In place of ""5J5fi5% ' with the juice of the liver (of a cow or any to say—the liver of a cow (and of no other animal) should be taken. Vrinda, however, reads and his commentator accepts the ' of an animal other than a cow) . ; but this reading is objectionable on the ground of a faulty construction. ""3i3i5%'' i- e. pasted in the watery secretions of cow-dung, is yet another variant noticed by both the commentators of Vrinda and of Chakradatta. ",
5386,"I type (of any of these six affections) purging should induced with castor oil taken through the vehicle of milk. Administration of Traiphala-Ghrita is also for purgative purposes, especially in the Pittaja blood-origined t\-pes. Purging with (clari- fied butter dui)- cooked w itli) Trivrit should be induced in types having their origin in the deranged Kapha, while oil duly cooked with Trivrit should be adminis- tered (for the purpose) in cases of affections having their origin in the concerted action of all the three deranged Doshas. The use in an\- shape of old and matured clarified butter, kept in an iron vessel, proves beneficial in cases of Timira of any type. Clarified butter cooked (the Kalka and decoction) of Tripliald or Mcs/ta- sringi always proves efficacious in Timira of any type. The patient should be made to lick a compound of powdered TripJiald with a copious quantity of clarified butter in cases of I'ittaja blindness, with oil in the Vataja type, and with a copious quantity of honey in the Kaphaja type, of this disease (Timira—loss or darkness of vision). ",
5387,19-21,
5388, The use as a Navana (errhine) of a medicated oil cooked and prepared with the decoction of cow-dung would be attended with beneficial results in all types of Timira. Clarified alone is beneficial in the IMttaja type , similarly clarified butter prepared by churning the milk a ewe or a she-goat and cooked with the admixture of the drugs of the Maihiira (Kikolyadi) group prove beneficial in the Pittaja t\'j)e of Timira. Oil cooked with the drugs of the Stiiirdli f Vidari-gandhadi ) or the I\faii/iura this clarified b\iltor i.s to be prepared from iho uiilk 
5389," group • as well as the Anu-taila (see Chapter V, Chikitsita Sthana), might be prescribed with the greatest advantage in the t}-pes of the disease due respectively to the action of the deranged Vayu and vitiated blood of the system. A medicated oil duly cooked with an admixture of Sahd, As'va-gandJid, Ati-vald, S'atdvari, Trivrit and the three fatty substances, Ghrita, lard and marrow, mentioned before (in connection with the treatment of Chapter VI, Chikitsita Sthdna) might be advantageously employed as an errhine in cases of Timira. Butter churned out of the milk dul\- cooked with the flesh of an\- aquatic or marsh-frequenting fowl or beast should be employed as an errhine ; it would prove curative in cases of Vataja Timira (loss of vision). ",
5390,22-23,
5391," The flesh of a vulture and of a deer of the Ena species, SaindJiava salt, honey and clarified butter should be prepared and applied (to the affected eye) in the manner of Puta-pa(ka (see next Chapter). The lard of vultures, snakes and cocks and Yashti-madim should be pasted together (with honey) and applied (to the affected ",
5392,24,
5393," Atl'tidotCS Srotonjana should be successively soaked in meat-juice, \ milk and clarified butter in part of the text within the from 'Similarly' in the last page to 'group' in this page is not to be found in either Vrinda or Chakradatta. The commentator of Chakradatta, moreover, does clearly say that this part is an interpolation and cannot be found in some of the Mss. of Sus'ruta Samhita. t According to Dallana the lards of vultures, snakes and cocks may be jointly or separately used—taken either one, two or all the three at a time. But in all cases they should be mixed with honey and Yashti- madhu. It should be noted that the lard of a Krishna-Sarpa (venomous serpent) should be used. J Plesh of those animals which give strength to the should be used in the preparation of meat -juice. ",
5394," the manner of Bhavand saturation and used as a Praty- of Timira unattended with redness). In cases of Vataja Timira attended with red- ness of the eye, however, the Srotonjana should be placed inside the blades of Kusa grass and preserxcd for a month inside the mouth of a (dead) black cobra. Then it should be taken out and mixed with SaindJiava salt and the burnt ashes of Mdlati (Jati) flowers. It should then be applied as an Anjana to the affected organ. As an alternative, Srotonjana should be soaked in milk for three successive days and applied to the seat of the disease in a case of (Vataja) Kacha (cataract) which is said by experts to be remediable by this Anjana. ",
5395,25,
5396," fied butter skimmed from miik (and not from curd) and duly cooked with the drugs of the Madliura (Kako- lyadi) group a snuff (Nasya), or as a Tarpana in the Pittaja type of this disease. The flesh of Jangala animals (deer, etc.) and the drugs of the Kdkolyddi group should be used in the manner of Puta-pa'ka in the Pittaja type of Kacha. A Kshudrdn- jana composed of Rasdnjana, sugar, honey Manah-sild, and Yashti-madhu may likewise be applied. The use of an Anjana composed of Rasdnjana and Tuttliaka taken in equal parts and finely pounded, is also recom- mended by experts \ in such cases. soaked in the decoction of BJiiUota and the drugs of is an antidote for the over-use of an Anjana. t According to some commentators the milk should he first cooked with the drugs of the Muilhura group, and hutlcr should then be churned out of that milk. X A benumbed condition of the eye through the abuse of eye- salves calls for the use of this Anjana as an antidote. 10 ",
5397,"the Elddi-gana would be used as a Pratyanjana, and would be found beneficial in such cases. The use (as an Anjana) of MesJia-s' ringi and Stotonjana taken in equal parts and two parts of conch-shell pounded together is efficacious in the Pittaja type of this disease (Kacha). The juice of Palds'a, Rohita and MadJmka (flower) mixed with honey and the surface layer of wine (taken in equal parts) should be prepared (in the manner of Rasa- kriya and applied as an eye-salve in this type). ",
5398,26-27,
5399," Treatment of Kaphaja drugs known as Us'ira, RodJira, TripJiald and Priyangii duly cooked together (with Tila oil) should be employed for the purposes of snuffing (Nasya) in the Kaphaja Type. Fumigation (Dhumana) with the vapours of Vidanga, Pdthd, KiniJii and would also prove beneficial in the Kaphaja type of cataract (Timira). The affected part should be likewise lubricated with the medicated Ghrita duly cooked with the decoction of Vanaspati (the milk- exuding trees, e. g., those of the species of Indian holy fig) with pasted Haridrd and Us'ira (as Kalka). The essence of the meat of Jdngala (forest) animals, mixed with Pippali and profusely saturated with Saindhava and honey, should be prepared in the manner of Ptita-pdka (and applied to the affected part). Manah-s'ila„ Trikatu, Saindhava, MdksJnka (hone)'), S'amkha, Kdslsa and Rasdnjana should be combinedly used for the purposes of Rasa-kriyd (in the type under discussion). Kdsisa, Rasdnjana, Guda (old and matur- ed treacle) and Ndgara, may be likewise used with benefit. ",
5400,28,
5401, Anjana (Antimony) many times heated and (subsequcntl)-) soaked in the decoction of TripJiald prepared with (the ,
5402,0,
5403,29,
5404," Treatment Of blood origined Pari- mlayi mentioned in con- nection with the Pittaja t\'pe of Timira should be em- ployed in a case of blood-origined ParimWyi. In the alternative, the remedial agents prescribed for the treatment of the different kinds of Ophthalmia (Abhi- shyanda) should be as well prescribed according to the nature of the deranged Doshas involved in the case. In case the deranged Do-has are not thereby subdued, Nasyas of the proper drug, as well as the many other Anjanas (coll3-rium) mentioned in the (next) Chapter on Kriya-kalpa should be employed. ",
5405,30,
5406," Diet carefully partaking of old and matured clarified butter, TripJiald, S'atdvari, Patola, Mudga, Amalaka, Yata (barley) as diet enjoys immunity from all attacks of the dreadful Timira. Simply the Pdyasa \ prepared with S'atdvari, or with Amalaka or a meal of barley corns cooked with the decoction According to some, the measures and remedies to be applied in such cases are the measures oi Rasa-kriya applicable in cases of Vataja, Pittaja and Kaphaja Timira. t The PsCyaSa of S'ala'vari and A' malaki should be prepared by duly cooking S'ala'vari or A'malaki, as the case may be, with milk and sugar. According to others, however, it means the gruel (YaViigu) prepuretl with the CApreoocd juice uf S'ala'vari ur A'malaki. ",
5407," of Triphald and a copious quantity of clariiicd butter would remove (an attack of) Timira. The use of such edibles A'a Jivanti, Sicnishannaka, Tandnliyaka, Vdstuka, Chilli, Mulaka as well as meat of birds (such as Lava, etc.) and Jangala animals (e g. deer, etc.) should be con- sidered as invigorating to eye-sight. The use of the leaves or fruit (as the case may be) of Patola, Karkotaka, Kdravella, Vdrtdku, Tarkdri, Karira (tender bamboo plant.s), S'igru or Artagala, cooked with clarified butter, proves beneficial (invigoratiog) to the sight. ",
5408,31,
5409," Blood-letting (venesection) should never be resorted to in a case of Timira, marked by the redness of the affected eye in as much as it might bring about an aggravation of the deranged Doshas ending in blindness of the patient. ",
5410,32,
5411," Prognosis by the absence of any redness of the eye and in which the first Patala (coat) of the organ is the seat of the disease, The case in which the eye assumes a bright red hue and the second coat or Patala of the organ is the seat of the disease, may be regarded as a curable one though only with the greaterst difficulty (Krichchhra-Saiclhya). The case in which the third coat or Patala of the organ is the seat of the disease (charac- terised by the redness of its outer coat) should be re- garded as (an incurable affection) admitting only of palliative treatment (Yapya). Proper palliative measures and remedies mentioned before should be employed in cases of Timira marked by a redness (of the affected organ), and leeches may also be applied to the region of the affection (to relieve it of its exuberance of the Dosha in cases of emergency). Surgical treatment of Kaphaja Linga-nas'a shall describe the (surgi- ",
5412,"measures to be employed for curing a case of Linga- naisa (obstruction or choking up at the pupil with a cataract) due to the action of the deranged Kapha. In cases where the deranged Dosha in the organ, i.e., the affected part of the organ docs not appear semi- circular or thin in the middle, nor, fixed, (hard) nor irregular (in shape), nor marked by a large number of lines or a variety of tints, or where it does not resemble a pearl or a drop of \\ater in shape, or if it does not become painful and red coloured, the patient should be first treated with Sneha andveda at a season of the year which is neither too cold nor too hot for the purpose. Then the hands, etc., of the patient should be secured with proper fastenings and he should be made to sit, looking simultaneously (with his two eyes) at (the tip of) his nose. Then the intelligent surgeon leaving off two portions of the white part of the eye-ball from the end of the Apanga (the end of the eye) and having fully and carefully drawn apart the eye-lids with his thumb and the index and the middle fingers, should insert the Yava-vaktra (needle) the sides of the natural apperture- like point near the external angles of the eye, neither above nor below, care being taken not to pierce the veins. The left eye should be pierced with the right hand, and the right with the left. The satisfactory nature of the operation (perforation) should be pre- sumed from the characteristic report or sound and the emission of region, following upon the perforation. 34-35- Bolh S'rikanlha Dalla and S'ivaiUsa, the conimcnlalurs respect- ively of Vrinda and Chakradatta, read tire S'alaka (rod) should be marlt; of copper. t Blood would come out if the perforation be not aatibfactorily done. ",
5413,"Instantly with the perforation the affected organ should be sprinkled over with breast-milk. The Salaka should be retained in its place and the diseased growth or appearance (cataract), whether fixed or mobile, should be duly fomented from the outside with the help of the tender leaves of Vayu-subduing efficacy, and the region of the Drishti-mandala should be subsequently scraped with the (pointed) end of a SaUkA. The mucus or phlegm (Kapha) accumulated in the affected eye should be removad by asking the patient to snuff it off by closing the nostril on the other side of the operated eye- ball. The part should be regarded as properly scraped when it would assume the glossiness of a resplendent cloudless sun and would be free from pain. Then the Salaka (rod) should be gently withdrawn as soon as it would be able to perceive vision, and then the (affected) eye should be sprinkled over with clarified butter and bandaged with a piece of linen. During this the patient should be laid on his back in a comfortable chamber (free from dust and smoke), and be warned against indulging in all those bodily functions such as eructation, coughing, yawning, spitting, sneezing, etc. The regimen of diet and conduct thereafter should be the same as observed by one internally treated with a Sneha (See Chapter XXXI, Chikitsita-stha'na). 36-A. The bandage should be removed on every fourth day, and the organ should be washed with the decoction of the drugs of Vayu-subduing properties and bandaged again with a fresh one. The eye should be (mildly) fomented on every fourth day as before, so that the bodily Vayu might not be aggravated. This rule should be i The period during which these rules should l)c lollowed is 'seven days' according lo Vagbhata. Bui according lo D.dlana ii is only the period during which the operation lastii. ",
5414,"Followed for ten days, as it would impart a fresh vigour to the sight. After-measures (such as snuffs, errhines, Tarpanas, etc.) should then be employed and the Diet should consist of light articles of food and be given only in moderate quantities. ",
5415,36,
5416," Persons declared unfit for venesection (viz., infants, old men, etc.) in the chapter on should not be subjected to any surgical operation, in cases of Niliksi except at the place mentioned before (viz. the natural aperture—Daiva-krita Chhidra). ",
5417,37,
5418," Symptoms and treatment of the disorders resulting' from an injudici- ous operation the incidental haemorrhage (from a puncture in a wrong place) fill in the cavity of the eye, in that case the eye should be beneficially sprinkled over with clarified butter duly cooked with Yasliti-madhu and breast-milk. An incision (puncture) close to the exterior corner (Apanga) of the eye would usher in swelling, pain, lachrymation and redness of the eye, which should be remedied by poulticing (Upandha) the part between the arches of the eye-brows, and sprinkling (Sechana) the eye over with tepid clarified butter. In the event of the organ being punctured near the Krishna-mandala (region of the iris) and the Krishna-mandala being affected thereby, the affected part should be sprinkled over with clarified butter, pur- gative should be administered and blood-letting (by means of leeches) should be resorted to. A distressing pain ensues from the puncture being made on the upper part of the eye (Krishna-mandala) and this should be cured by sprinkling drops of lukewarm clarified butter on the scat of affection. ICxccssi\e laclirymation sets in S'arira-Slhana, Chapter \\\. ",
5419,"with pain and redness of the eye in the event of the puncture being made on the lower part of the eye (Krishna-mandala) and such cases should be treated in the preceding manner. Emulsive (Sneha) application and fomentation (Sveda) of the parts as well as applica- tions of Anuvasana enema should be considered as remedies in cases of redness, lachrymation, pain, numb- ness and bristling (of the eyc-lashcs) in the eye, as the result of an excessive and improper handling of the instrument during the operation. If removed in its acute stage (in a case of Linga- Dosha is liable to have an upward course and produce relapse in the red-coloured specks or films (opacity) in the Sukra (white part of the eye), and it tends to give rise to an excruciating pain in the locality and completely obstruct the vision. The remedy in such a case consists in sprinkling the eye with clarified butter duly cooked with the drugs of the Madliura-gaiia, and in the application of the same in the nianner of Siro-vasti (errhine). Meat diet should be prescribed for the patient in such cases. As a full-bodied cloud coming in contact with the wind meets its destruction, so the fully aggravated Dosha meets its doom, if operated upon with the surgeon's Salaka (rod). ",
5420,39-40,
5421," Causes of Relapse ; —A relapse of the de- ranged Dosha is caused by a blow on the head, physi- cal exercise, sexual excesses, vomiting, epileptic fits, or by an act of piercing the Linga-nas'a (cataract) during ",
5422,41,
5423, Symptoms produced by the defects of the S'alaka' be taken not to remove the cataract with a roughly shaped Salakai (rod) as it might usher in an acute and aching pain in the affected organ. A rod with an unsmooth body might ,
5424,"UTTARA-TANTRAM. Si lead to an aggravation of the deranged Doshas. A thick- topped rod would necessaril}' create an extensive ulcer, whereas a sharp one begets the apprehension of hurting the eye in many ways. An excessive lachrymation sets in from using a rod with an unequal or irregu- lar top or mouth, whereas its unsteadiness (in the course of the operation) makes the operation an abortive one. Hence a Salakd (rod) should be constructed and used for the purpose in such a manner as to preclude the possibility of the foregoing defects and injuries, ",
5425,43,
5426," Description of the Salaka (rod) should be made to measure eight fingers in length, its middle part being covered with strings of thread and resembling the upper section of the thumb in circumference and its ends terminating in the form of a bud. The rod (Salakd) should be prepared of copper, iron or gold. ",
5427,43,
5428," Derangements due to defective operation of the eye, local swelling, sucking pain, (appearance of) Arvuda or Vudvuda, hog- like eye &c. are due to the improper handling of the rod or to the use of improper regimen of diet and conduct. These should be remedied according to the nature of the deranged Dosha involved in each case. ",
5429,44,
5430," again hear me discourse on the (specific) medicines to be employed in cases of pain or redness in the eyes. A medicinal plaster composed of Gairika, S'drivd, Durvd, and barley pasted with milk i"" and clarified butter, should be Both Virinda antl Chakradatta reads ""Kekardkshita'' ;. e. a squinting look. i Vrinda and Chakradatta following Vagbhala do not read (milk) and they read the first line of this couplet in a different form. II ",
5431,"applied lukewarm (about the eyes) for the subsidence of pain and redness. A plaster (Lepa) prepared of SiddhdrtJiaka (white mustard seeds) and slightly fried sesamum seeds pasted with the expressed juice of Mdtuhmga, or one prepared of Payasjd (Kshira-kdkoli), Sdrivd, Patra, Manjishthd and Yashti-madhii pasted together with the milk of a she-goat, if applied luke- warm to the affected region, removes the pain and redness of the eyes. A plaster composed of Dam, Pad- maka, and S'ujithi, prepared and used in the same way is likewise recommended for the purpose. A plaster Yasliti-mad/ni, KusJitha and SaindJiava should be likewise used. Cow's milk cooked with Snhi- dhava should also be used for the alleviation of pain and redness of the eye. Clarified butter duly cooked with the admixture of S'atdvari, Prithak-parni, Ulusta, Amalaka, Padmaka and the milk of a she-goat, should be applied (cold) to the affected organ (eye) for the alleviation of pain and burning sensation therein. Clarified butter duly cooked with the Kalka of the drugs of the Kdkolyddi group with a quantity of milk four times the weight of the clarified butter, previously cooked with the drugs of the Vayu-subduing {Bhadra- ddrvMi) group (in the manner of Kshira-paka) should be considered as efficacious in any form (internally or externally in cases of ocular affections. The affected organ should be treated with Sneha emulsive (applica- tions) and (Sveda), fomentation and opening of the veins (SirA) or cauterisation (by honey, clarified butter, or treacle) as described before, should be resorted to in cases where the foregoing remedies would fail to pro- duce an)' effect. ",
5432,45-46,
5433, Eye sight invigorating Now hear me describe two beneficial recipes of Anjana ,
5434,"8 which would invigorate the eye-sight and impart a clear- ness of vision. Flowers of Mcsha-S'ringi, S'iris/ia, Dhava Vaidurya (ruby) should be pounded and made into a paste with the addition of the milk of a she-goat. The compound thus prepared should be kept in a copper vessel for a week and then made into Vartis (sticks) of convenient lengths and applied to the eyes in the manner of an Anjana. A Varti (stick) should be similarly prepared with Srotonjana, coral, Sanmdra-phcna, ManalL-s'ild and MaricJui and used similarly as an Anjana (eye-salve). It imparts steadiness of vision. The many other Anjanas to be described in the next Chapter (Kriya-kalpa) may also be beneficially applied for the purpose. ",
5435,47-48,
5436, Thus ends the sevenleenlh chapter in the Uttara-Tantra of the Sus'nita- Samhita which treats of the curative measures of the diseases of the Drishli (pupil). ,
5437,"Viri. Now we shall diseourse on the Chapter which treats of the preparations and uses of the medicinal measures (external applications) to be adopted or employed in treating ocular affections in general (KriySL- kalpa). I. Here follows a general exposition of the instructions which the sainted lord of Benares, the holy Dhanvantari of profound intellect imparted to his disciple the son of (Sus'ruta) regarding the different medicinal measures (Kriyd) such as Tarpana (soothing), Seka (sprinkling), A'schyotana (eye-drops), Puta-patkas Anjanas (eye-salves), etc., mentioned before in different places to be employed in diseases of the eye. ",
5438,3-Feb,
5439," The Tarpana measure known as Tarpana should be employed in respect of an affected eye either in the fore-noon or in the after-noon under the auspices of propitious astral combinations, after having purged the head and bowels of the patient and subsequent to the digestion of any food previously taken. The patient should be laid on his back in a chamber not exposed to the rays of the sun, and the gust of the wind, and where the atmosphere is not charged with minute particles of floating dust. The region of his eye (i. e. eye-lids) should be thickly coated with powdered Mdsha pulse, pasted (with water) in the form of a circular wall which should be even, hard and compact. Then a quantity of the transparent upper layer of clarified butter should be stirred with the admixture of a quantity of lukewarm water and poured (Purana) into the cavities of the eye up to the eye-lashes and retained therein for as ",
5440,"85 long a period as one would take to count five hundred, six hundred, eight hundred, and ten hundred syllabless respectively in cases of healthy persons and persons with Kapha-origined, diseases of the e}'e. According to certain authorities, the periods of such retention (of clarified butter) should vary with the seat of the affection (in the eye-ball). The clarified butter mentioned above should, according to them, be retained in the cavities of the eye for as long a period as one would take to utter three hundred, five hundred, seven hundred, one thousand, or eight hundred syllables respectively in cases of the diseases confined to the region of the Sandhi, Vartman, Sukla, Krishna, the eye in general (Sarva-gata) and the Drishti of the the interior corner of the affected organ which should be purified by applying poultices of pasted barley. The Kapha, deranged by the use of this Sneha-Purana should be then conquered by making the patient inhale some kind of Kapha-subduing Dhuma (smoke). This rule -f .should be observed for one, three or five days in succes- sion. ",
5441,4,
5442," Symptoms of satisfactory, excess- ive and defective at the first call, unembarrassed waking, cessation of secre- tion, clearness of vision, agreeable sensation, perceptible ameli(;rati()n fjf the disease, and lightness of the (jraan the eye for a period required to count one thousand syllables in cases of Sarva-gata and eighteen hundred words in cases of Drishti-gata eye-diseases. t According to Gayadasa, this rule should be observed for one, three, or five days in cases of the jireponderance of Vayu, Pitta and Kapha res- pectively, and according to Jejjata, in cases of nnld, moderate and severe attack respectively. ",
5443," are the .symptoms which result from a proper and satisfactory Tarpana of the eye. Cloudiness of vision, a sense of heaviness in the affected organ, excessive glossiness (of the eye), lachrymation, itching, sliminess and an aggravation of the Doshas are the features which mark a case of severe and excessive Tarpana. A sense of dryness in the affected organ, cloudiness of vision, profuse lachrymation, sensitiveness to light and an aggravation of the disease are the evils which follow an act of defective Tarpana (of the eye). ",
5444,5,
5445," Treatment of excessive and defect- ive Tarpana of defective and excessive Tarpana should be remedied with the application of medicinal snuffs, Anjanas, washes and inhalations of smoke and by adopting dry or emulsive measures, (as the cases may require). ",
5446,6,
5447," and dc- pilation of the eye-lashes, cloudiness and darkness of vision, archedness of sight, absolute want of lachryma- tion, parchedncss of the eye, hardness of the eye-lid and a severely diseased condition of the eye are amenable to the application of the Tarpana measure as giving t(Mie to the eye. The Tarpana measure should not to be applied in a cloudy day, nor in a day excessix eU' hot or cold. It should not be applied to the c\'e of a person engrossed by anxiety or fear, nor before the subsidence of the supervening symptoms (Upadrava) of the eye-disease. y-S. Puta-pa'ka measure should be applied in the aforesaid cases. The Puta-paka and the internal application of Sneha (Sneha-pana) are forbidden. After a complete subsidence of the Dosha, the Puta-pdka should be applied to the (affected) eye ",
5448,"in cases \vhere the patient would be found capable of being treated with it. The Puta-paka measure may be divided into three classes, viz., Snehana (.emulsive), Lekhana (scraping) and Ropana (healing) Puta-paka. The Snehana (emulsive) Puta-pdka is recommended in cases marked by the extreme parchedness of the affected organ or locality, and Lekhana (scraping) ones are efficacious in cases of excessive applications of the .Sneha to the eye ; while the eye-sight is invigorated b\' the Ropana (healing) Puta-paka, which restores the of the affected locality to their natural conditions, and (consequently) heals the ulcer. ",
5449,10-Sep,
